Tip,Author,Last Sent,Category
Use the integrate function to calculate the area under a curve: http://bit.ly/OET7Ri #rstats,David Smith,2014-11-21T00:00:00Z,NA
"#rstats keep from converting to factors with I() the inhibit function (dd <- cbind(d, char = I(letters[1:10]))) http://bit.ly/1xcO4s7",JBR,2014-11-24T00:00:00Z,NA
#rstats Extract the diagonal elements of a square matrix M with diag(M) http://bit.ly/1zFZMhl,JBR,2014-12-01T00:00:00Z,NA
"#rstats For a complete list of functions in a loaded package (eg Rcpp), use library(help=""Rcpp"") http://bit.ly/1xXLLcR",Dawn Kinsey,2014-12-03T00:00:00Z,NA
The corner function in the BurnsMisc package is a convenient way to view a small part of a data frame http://bit.ly/10CB8vJ #rstats,David Smith,2014-12-04T00:00:00Z,NA
"#rstats To profile R code, install the profr package and use the Rprof {base} function. http://bit.ly/1xXNkHP",John D Cook,2014-12-05T00:00:00Z,NA
"#rstats setNames(1:3,c(""foo"",""bar"",""baz"") defines vector and assigns names all in one step http://bit.ly/1tTQ0ow",JBR,2014-12-08T00:00:00Z,NA
#rstats Go between lower and upper case characters and back again with toupper() and tolower(). http://bit.ly/12sXuHv,JBR,2014-12-10T00:00:00Z,NA
log1p(x) computes log(1 + x). Why is such a function necessary? http://bit.ly/auoC65 #rstats,John D Cook,2014-12-11T00:00:00Z,NA
Making sense of R's error messages when working with data frames (by @slawarokicki): http://bit.ly/VLGCFf #rstats,@slawarokicki,2014-12-12T00:00:00Z,NA
"#rstats read.table() taking too long, try fread() from the data.table package http://bit.ly/13hMJcq",JBR,2014-12-15T00:00:00Z,NA
#rstats Download maps from Google Maps with get_map from the ggmap package http://bit.ly/1GkDNRw,JBR,2014-12-16T00:00:00Z,NA
How to calculate Prob(X > Y) where X and Y are Gamma distributed: http://bit.ly/Pq3v0n #rstats,David Smith,2014-12-18T00:00:00Z,NA
#rstats You may find the function dpith() in the KernSmooth package useful for setting histogram bin widths. http://bit.ly/1wuJVnr,JBR,2014-12-23T00:00:00Z,NA
#rstats Do maximum likelihood estimation directly with the mle() function from the stats4 package. http://bit.ly/1zGdGS6,JBR,2014-12-26T00:00:00Z,NA
#rstats Use the exists() function {base} to see if an R object is defined. http://bit.ly/1AYH7OP,JBR,2014-12-29T00:00:00Z,NA
The tryCatch function lets an R programmer respond to an error without crashing back to the interpreter: http://bit.ly/vkHZxy #rstats,David Smith,2014-12-30T00:00:00Z,NA
#rstats The function dput() {base} writes an ASCII text representation of an R object to a file or connection. http://bit.ly/16Ox3ip,JBR,2015-01-02T00:00:00Z,NA
