status_id,created_at,text,favorite_count,retweet_count,score
1047154246586699778,2018-10-02T16:00:02Z,Use the gganimate package to create smooth animations with ggplot2 https://t.co/oh9i7zf0kR #rstats,93,38,169
1046791852903432193,2018-10-01T16:00:00Z,"The behaviour of diag() depends on the length of its argument: diag(5) construct the 5x5 identity matrix, but diag(1:5) places 1:5 on the diagonal https://t.co/73AI3zkRmV #rstats",21,10,41
1045704694717284352,2018-09-28T16:00:02Z,Got time to kill waiting for an R computation? Play games like Tetris and Pacman in RStudio with Rcade https://t.co/vZAhi5wqRq #rstats,91,30,151
1045342311679504385,2018-09-27T16:00:03Z,"How to include non-standard fonts (Chinese, Cyrillic, CM Math etc) in PDF/Postscript charts: https://t.co/EgZTVrZAVs (p41) #rstats",19,7,33
1044979917069389824,2018-09-26T16:00:01Z,"R developer's guide to Azure, documentation for Azure services supporting R https://t.co/Ij4XvatvgI #rstats",22,5,32
1044617528406929410,2018-09-25T16:00:01Z,"Basic R syntax gotchas, from aRrgh: a newcomer’s (angry) guide to R https://t.co/sMYqwiJmYu #rstats",43,16,75
1044255141249998849,2018-09-24T16:00:01Z,"options(stringsAsFactors=FALSE) forces R to import character data as character objects, but avoid the temptation to add it to your .Rprofile file: your code may not work for others if you do #rstats",51,13,77
1043167974872506368,2018-09-21T16:00:00Z,Show a progress bar for in R console only when running interactively: if(interactive) {pb &lt;- txtProgressBar(…)} https://t.co/fCw32MlrUz #rstats,53,16,85
1042820684085264384,2018-09-20T17:00:00Z,"A list of free courses, books, tutorials and cheat sheets for R https://t.co/kqOZvTMrIw #rstats",527,237,1001
1042443201343188993,2018-09-19T16:00:01Z,How to publish R functions as Web services with Microsoft ML Server https://t.co/35myNyYGku #rstats,25,5,35
1042095912884023296,2018-09-18T17:00:01Z,"Use the ""shiny"" package to easily create web-based applications with R. Get started with video and written tutorials at https://t.co/rSS4b88bxh #rstats",85,30,145
1041718420494938112,2018-09-17T16:00:00Z,The arules package provides functions for mining itemsets and discovering association rules https://t.co/n3MrYVEd4H #rstats,23,4,31
1040631261788745728,2018-09-14T16:00:01Z,Add a zero imaginary part to a number for complex arguments. sqrt(-1) returns NaN; sqrt(-1+0i) returns 1i #rstats,34,5,44
1040268871653965830,2018-09-13T16:00:00Z,inSide() {mgcv} may help you determine if points are inside a boundary. https://t.co/4dV8HIjhUl #rstats,31,7,45
1039906488532127744,2018-09-12T16:00:02Z,"To get the very latest versions of R packages with Microsoft R Open, run chooseCRANmirror() before calling install.packages #rstats",35,7,49
1039544093406154752,2018-09-11T16:00:00Z,"Export a data frame to Excel with the writexl package: write_xlsx(mydata, ""mydata.xlsx"") https://t.co/xKJ4qQYh87 #rstats",61,26,113
1039181711903518720,2018-09-10T16:00:01Z,Run-length encoding: count the number of times sequential repeats appear with rle(x) #rstats https://t.co/UzIfSANXG4,24,6,36
1038094543030239232,2018-09-07T16:00:00Z,"Search R-help mailing list archives, help pages, vignettes and task views with RSiteSearch(""keyword"") https://t.co/W7TXC3ekl2 #rstats",18,9,36
1037732155831382016,2018-09-06T16:00:00Z,"Packages for importing financial, sports and weather data into R https://t.co/NrygnpE7Ti #rstats",137,43,223
1037369774123245568,2018-09-05T16:00:02Z,Tutorial: Use RevoScaleR R functions with SQL Server data https://t.co/eEJTJNQaB1,7,1,9
1037007386215632901,2018-09-04T16:00:02Z,"Time how long your R code takes to run: #rstats

tic &lt;- print(Sys.time()) 
##
## R code goes here
##
toc &lt;- print(Sys.time()) 
print(toc-tic)",197,52,301
1036826187342008320,2018-09-04T04:00:01Z,List of R functions and packages related to internet technologies and services https://t.co/ya8v2qFxBg #rstats,41,21,83
1035557827148955654,2018-08-31T16:00:00Z,Five ways to subscript data in R https://t.co/tNBB7Y6E1Q #rstats,33,7,47
1035195439119654912,2018-08-30T16:00:00Z,"Review and update selected packages to the latest version: update.packages(ask=""graphics"")  #rstats",21,7,35
1034833052269203456,2018-08-29T16:00:00Z,"Installing R Packages in SQL Server ML Services, a tutorial series by @nielsberglund https://t.co/cl6FacvYas #rstats",17,2,21
1034470664508506117,2018-08-28T16:00:00Z,"How to install R with multi-core acceleration, RStudio and tidyverse on Windows, Mac and Ubuntu https://t.co/qjSFVzjJVa #rstats",95,21,137
1034108277674725376,2018-08-27T16:00:00Z,"In base graphics, change the direction of plot axis labels with las.  
  plot(x,y,las=2)  
makes all labels perpendicular to the axis #rstats https://t.co/ycPbnIj93y",57,16,89
1033021115923193858,2018-08-24T16:00:01Z,Need to put R output in a book or paper? Use options(width=60) to limit output to a narrow column. https://t.co/rPryoPckBF #rstats,96,18,132
1032658726379913216,2018-08-23T16:00:00Z,"Get the upper triangular elements of a matrix: M[upper.tri(M,diag=TRUE)] https://t.co/ant2hTPCsc #rstats",21,5,31
1032356738580791297,2018-08-22T20:00:01Z,"A list of companies, officials and NGOs using R, curated by @jumpingrivers https://t.co/zs2uuTXoDW #rstats",31,14,59
1031571563726991361,2018-08-20T16:00:01Z,"Use the xtable package to convert a table or matrix to HTML: print(xtable(X), type=""html"") https://t.co/AM1AExyhgD #rstats",64,24,112
1030484396757811200,2018-08-17T16:00:00Z,"Use the lubridate package to easily manipulate dates, times and time zones https://t.co/t7cFs1VRuL #rstats",44,12,68
1030122014059593728,2018-08-16T16:00:01Z,Advanced documentation on how S4 methods work in R https://t.co/fjrS6zq2Gy #rstats,26,7,40
1029759623857750017,2018-08-15T16:00:00Z,Tutorial: Learn in-database analytics using R in SQL Server https://t.co/dDA6yZ2ZJr #rstats,50,17,84
1029397234201374721,2018-08-14T16:00:00Z,"Useful operator from the rlang package: 
  a %||% b %||% c 
returns the first of the objects a, b, c that is not NULL https://t.co/9QvIqsSPht #rstats",119,26,171
1029034849372262401,2018-08-13T16:00:01Z,The list of R operators: https://t.co/g7WR97QEbH #rstats,49,18,85
1027947688938024960,2018-08-10T16:00:02Z,Use apropos() to find a function or variable when you can only remember part of its name https://t.co/HL37rwufk5 #rstats,92,40,172
1027585300552286208,2018-08-09T16:00:01Z,Compute a kernel density estimate of a variable's distribution with density(x) https://t.co/HFJHyE6d3Q #rstats,19,6,31
1027222911613063169,2018-08-08T16:00:01Z,How to use R packages with the online Power BI service https://t.co/fb1HFTvQcB #rstats,22,11,44
